EmailID,SentenceID,SentenceLen,Failures,OutofSeq,InputSavings,Depth_1,Depth_2,DepthWeightedScore
8994,0,44,43,0,0.0,0,0,0.0
8994,1,35,31,0,5.9880239521,1,2,0.0588235294118
8994,2,18,13,0,13.6363636364,3,1,0.205882352941
8994,3,10,9,0,0.0,0,0,0.0
8994,4,19,18,0,0.0,0,0,0.0
8994,5,16,14,0,4.0404040404,1,0,0.0666666666667
8994,6,20,17,0,6.03448275862,2,0,0.105263157895
8994,7,27,25,0,2.38095238095,1,0,0.0384615384615
8994,8,8,6,0,11.1111111111,0,1,0.0714285714286
8994,9,2,1,0,0.0,0,0,0.0
8994,10,27,24,0,3.35570469799,1,1,0.0576923076923
8994,11,41,38,0,2.85714285714,1,1,0.0375
8994,12,23,21,0,2.81690140845,1,0,0.0454545454545
8994,13,13,12,0,0.0,0,0,0.0
8994,14,20,17,0,6.03448275862,2,0,0.105263157895
8994,15,17,16,0,0.0,0,0,0.0
8994,16,35,32,0,4.2328042328,2,0,0.0588235294118
8994,17,21,19,0,3.6036036036,1,0,0.05
8994,18,17,14,0,8.94308943089,2,0,0.125
8994,19,36,33,0,4.66321243523,1,0,0.0285714285714
8994,20,12,11,0,0.0,0,0,0.0
8994,21,23,20,0,5.98290598291,2,0,0.0909090909091
8994,22,28,27,0,0.0,0,0,0.0
8994,23,62,54,0,6.92771084337,4,3,0.0901639344262
8994,24,19,17,0,3.1914893617,0,0,0.0
8994,25,36,34,0,1.5873015873,0,1,0.0142857142857
8994,26,30,27,0,4.3795620438,0,2,0.0344827586207
8994,27,22,21,0,0.0,0,0,0.0
8994,28,14,11,0,9.33333333333,2,0,0.153846153846
8994,29,23,21,0,2.85714285714,1,0,0.0454545454545
8994,30,17,14,0,7.69230769231,1,1,0.09375
8994,31,43,39,0,5.14018691589,2,1,0.0595238095238
8994,32,72,66,0,5.3164556962,2,3,0.0492957746479
8994,33,24,22,0,1.62601626016,0,1,0.0217391304348
8994,34,23,21,0,3.4188034188,0,1,0.0227272727273
8994,35,22,20,0,2.23880597015,1,0,0.047619047619
8994,36,50,46,0,3.7037037037,2,1,0.0510204081633
8994,37,10,9,0,0.0,0,0,0.0
8994,38,28,27,0,0.0,0,0,0.0
8994,39,18,17,0,0.0,0,0,0.0
8994,40,11,10,0,0.0,0,0,0.0
8994,41,32,30,0,2.76243093923,1,0,0.0322580645161
8994,42,27,24,0,4.72972972973,1,1,0.0576923076923
8994,43,22,19,0,5.34351145038,2,0,0.0952380952381
8994,44,37,33,0,5.26315789474,1,2,0.0555555555556
8994,45,60,54,0,6.15384615385,3,2,0.0677966101695
8994,46,24,21,0,5.38461538462,1,1,0.0652173913043
8994,47,16,15,0,0.0,0,0,0.0
8994,48,24,23,0,0.0,0,0,0.0
8994,49,12,11,0,0.0,0,0,0.0
8994,50,87,72,0,10.3926096998,6,8,0.116279069767
8994,51,31,26,0,8.91719745223,4,0,0.133333333333
8994,52,33,30,0,3.46534653465,1,1,0.046875
8994,53,35,31,0,5.9880239521,1,2,0.0588235294118
8994,54,18,16,0,5.15463917526,1,0,0.0588235294118
8994,55,21,18,0,5.60747663551,2,0,0.1
8994,56,11,8,0,11.7647058824,2,0,0.2
8994,57,18,17,0,0.0,0,0,0.0
8994,58,43,39,0,4.44444444444,2,1,0.0595238095238
8994,59,5,4,0,0.0,0,0,0.0
8994,60,30,28,0,2.0979020979,1,0,0.0344827586207
8994,61,13,10,0,10.2941176471,2,0,0.166666666667
8994,62,21,17,0,7.5,3,0,0.15
8994,63,21,18,0,4.4776119403,1,1,0.075
