SubjID,SentenceID,SentenceLen,Failures,OutofSeq,NetFailure,NetSuccess,Depth_1,Depth_2
0,0,13,11,0,11,15.38,1,1
0,0,6,6,0,6,0,0,0
0,1,10,10,0,10,0,0,0
0,2,13,12,0,12,7.69,0,1
0,3,14,14,0,14,0,0,0
0,4,19,19,0,19,0,0,0
0,5,22,21,0,21,4.55,1,0
0,6,7,7,0,7,0,0,0
0,7,9,9,0,9,0,0,0
0,8,28,26,4,22,21.43,1,1
0,9,8,6,0,6,25,1,1
0,10,25,24,0,24,4,0,1
0,11,3,3,0,3,0,0,0
0,0,10,10,0,10,0,0,0
0,1,19,19,0,19,0,0,0
0,2,12,12,0,12,0,0,0
0,3,17,17,0,17,0,0,0
0,4,21,19,0,19,9.52,2,0
0,5,4,4,0,4,0,0,0
0,0,12,12,0,12,0,0,0
0,1,37,35,0,35,5.41,2,0
0,0,26,23,3,20,23.08,1,1
0,0,53,51,20,31,41.51,0,2
0,1,3,3,0,3,0,0,0
0,2,7,6,0,6,14.29,1,0
0,3,4,4,0,4,0,0,0
0,4,2,2,0,2,0,0,0
0,0,2,2,0,2,0,0,0
0,1,11,11,0,11,0,0,0
0,2,6,6,0,6,0,0,0
0,3,16,13,0,13,18.75,2,1
0,0,10,9,0,9,10,1,0
0,1,12,12,0,12,0,0,0
0,0,14,14,1,13,7.14,0,0
0,1,23,21,1,20,13.04,2,0
0,2,9,9,0,9,0,0,0
0,3,33,31,2,29,12.12,2,0
0,4,20,19,0,19,5,1,0
0,5,12,11,0,11,8.33,1,0
0,6,19,17,1,16,15.79,2,0
0,7,16,16,0,16,0,0,0
0,8,13,13,0,13,0,0,0
0,9,3,3,0,3,0,0,0
0,10,3,3,0,3,0,0,0
0,0,6,5,0,5,16.67,1,0
0,1,3,3,0,3,0,0,0
0,0,17,16,0,16,5.88,1,0
0,1,8,8,0,8,0,0,0
0,2,4,4,0,4,0,0,0
0,3,10,10,0,10,0,0,0
0,4,10,10,0,10,0,0,0
0,5,10,10,0,10,0,0,0
0,6,11,11,0,11,0,0,0
0,7,8,7,0,7,12.5,1,0
0,8,16,16,0,16,0,0,0
0,9,12,12,0,12,0,0,0
0,10,10,9,0,9,10,1,0
0,11,9,8,0,8,11.11,0,1
0,0,13,13,1,12,7.69,0,0
0,1,2,2,0,2,0,0,0
0,0,5,5,0,5,0,0,0
0,1,4,4,0,4,0,0,0
0,0,72,71,18,53,26.39,1,0
0,0,4,4,0,4,0,0,0
0,0,8,8,0,8,0,0,0
0,1,11,9,0,9,18.18,1,1
0,0,2,2,0,2,0,0,
0,1,3,3,0,3,0,0,
0,0,6,6,0,6,0,0,
0,0,30,29,0,29,3.33,1,
0,1,5,5,0,5,0,0,
0,0,12,12,0,12,0,0,
0,1,11,11,0,11,0,0,
0,2,21,19,1,18,14.29,2,
0,3,11,11,0,11,0,0,
0,4,1,1,0,1,0,0,
0,0,4,4,0,4,0,0,0
0,0,6,6,0,6,0,0,0
0,1,13,11,0,11,15.38,1,1
0,2,7,6,0,6,14.29,1,0
0,3,20,18,2,16,20,2,0
0,4,15,15,0,15,0,0,0
0,5,28,27,1,26,7.14,1,0
0,6,7,7,0,7,0,0,0
0,7,1,1,0,1,0,0,0
0,0,19,18,0,18,5.26,0,1
0,0,6,6,0,6,0,0,0
0,1,8,8,0,8,0,0,0
0,2,5,4,0,4,20,1,0
0,0,37,36,1,35,5.41,1,0
0,0,10,10,0,10,0,0,0
0,1,2,2,0,2,0,0,0
0,0,3,3,0,3,0,0,0
0,1,4,4,0,4,0,0,0
0,0,6,6,0,6,0,0,0
0,1,10,10,0,10,0,0,0
0,2,22,21,0,21,4.55,1,0
0,3,8,8,0,8,0,0,0
0,4,17,15,0,15,11.76,1,1
0,5,43,42,2,40,6.98,1,0
0,6,14,14,3,11,21.43,0,0
0,7,29,25,3,22,24.14,4,0
0,8,10,9,0,9,10,1,0
0,9,10,10,0,10,0,0,0
0,10,8,8,0,8,0,0,0
0,11,20,19,1,18,10,1,0
0,12,14,14,0,14,0,0,0
0,13,6,6,0,6,0,0,0
0,14,18,17,3,14,22.22,0,1
0,15,20,19,0,19,5,0,1
